Scaffold,Transcription Start,Strand,Name,Gene,Product
NC_007604,63278,-,-,Synpcc7942_0062,glucose-1-phosphate cytidylyltransferase
NC_007604,64706,-,-,Synpcc7942_0063,dual specificity protein phosphatase
NC_007604,64870,-,-,Synpcc7942_0064,hypothetical protein
NC_007604,65562,-,infC,Synpcc7942_0065,translation initiation factor IF-3
NC_007604,67172,-,-,Synpcc7942_0066,hypothetical protein
NC_007604,67986,-,-,Synpcc7942_0067,ABC transporter permease
NC_007604,68980,-,-,Synpcc7942_0068,ATPase
NC_007604,69001,+,-,Synpcc7942_0069,hypothetical protein
NC_007604,69938,-,-,Synpcc7942_0070,hypothetical protein
NC_007604,71139,-,-,Synpcc7942_0071,pleiotropic regulatory protein-like protein
NC_007604,71960,-,-,Synpcc7942_0072,hypothetical protein
NC_007604,73196,-,-,Synpcc7942_0073,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NC_007604,73659,-,-,Synpcc7942_0074,hypothetical protein
NC_007604,73775,+,-,Synpcc7942_0075,aminopeptidase
NC_007604,75091,+,-,Synpcc7942_0076,extracellular solute-binding protein
NC_007604,75853,+,-,Synpcc7942_0077,XRE family transcriptional regulator
NC_007604,77063,-,-,Synpcc7942_0078,hypothetical protein
NC_007604,77584,-,-,Synpcc7942_0079,hypothetical protein
NC_007604,78872,-,-,Synpcc7942_0080,ABC transporter permease
NC_007604,79268,-,-,Synpcc7942_0081,RNA-binding S4
NC_007604,79265,+,-,Synpcc7942_0082,ATPase
NC_007604,81023,+,-,Synpcc7942_0083,hypothetical protein
NC_007604,81217,+,-,Synpcc7942_0084,hypothetical protein
NC_007604,82865,-,-,Synpcc7942_0085,HAD family hydrolase
NC_007604,84963,-,-,Synpcc7942_0086,isoamylase
NC_007604,86475,-,-,Synpcc7942_0087,hypothetical protein
NC_007604,86547,+,-,Synpcc7942_0088,hypothetical protein
NC_007604,87796,-,-,Synpcc7942_R0025,Asn tRNA
NC_007604,88615,-,-,Synpcc7942_0089,carboxymethylenebutenolidase
NC_007604,88735,+,-,Synpcc7942_0090,GntR family transcriptional regulator
NC_007604,90453,-,-,Synpcc7942_0091,hypothetical protein
NC_007604,90930,-,-,Synpcc7942_0092,hypothetical protein
NC_007604,90962,+,-,Synpcc7942_0093,thymidylate kinase
NC_007604,91676,+,-,Synpcc7942_0094,DNA polymerase III subunit delta'
NC_007604,93339,-,-,Synpcc7942_0095,two component transcriptional regulator
NC_007604,93729,-,crm,Crm,circadian rhythmicity modulator
NC_007604,94285,-,-,Synpcc7942_0096,hypothetical protein
NC_007604,98166,-,cobN,Synpcc7942_0097,cobaltochelatase subunit CobN
NC_007604,100086,-,-,Synpcc7942_0098,pyruvate kinase
NC_007604,100202,+,-,Synpcc7942_0099,hypothetical protein
NC_007604,101082,-,-,Synpcc7942_0100,hypothetical protein
NC_007604,101217,+,-,Synpcc7942_0101,type 2 NADH dehydrogenase
NC_007604,102674,+,-,Synpcc7942_0102,hypothetical protein
NC_007604,103645,-,-,Synpcc7942_0103,ankyrin
NC_007604,104414,-,-,Synpcc7942_0104,hypothetical protein
NC_007604,106377,-,nadE,Synpcc7942_0105,NAD synthetase
NC_007604,106952,-,nadD,Synpcc7942_0106,nicotinic acid mononucleotide adenylyltransferase
NC_007604,108383,-,-,Synpcc7942_0107,small GTP-binding protein domain-containing protein
NC_007604,108556,+,-,Synpcc7942_0108,sulfiredoxin
NC_007604,108877,+,-,Synpcc7942_0109,DNA-binding ferritin-like protein
NC_007604,109390,+,-,Synpcc7942_0110,XRE family transcriptional regulator
NC_007604,110012,+,-,Synpcc7942_0111,DnaK protein-like protein
NC_007604,111686,+,-,Synpcc7942_0112,deoxyribodipyrimidine photo-lyase type I
NC_007604,113196,+,petL,Synpcc7942_0113,cytochrome b6-f complex subunit PetL
NC_007604,113295,+,-,Synpcc7942_0114,hypothetical protein
NC_007604,114146,-,-,Synpcc7942_0115,hypothetical protein
NC_007604,114299,+,-,Synpcc7942_0116,fructokinase
NC_007604,115391,+,-,Synpcc7942_0117,thiol methyltransferase 1-like protein
NC_007604,116943,+,gatB,Synpcc7942_0118,aspartyl/glutamyl-tRNA amidotransferase subunit B
NC_007604,119292,-,-,Synpcc7942_0119,hypothetical protein
NC_007604,119993,-,-,Synpcc7942_0120,cytosine/adenosine deaminase-like protein
NC_007604,121239,-,-,Synpcc7942_0121,hypothetical protein
NC_007604,121282,+,-,Synpcc7942_R0026,Cys tRNA
NC_007604,123573,-,-,Synpcc7942_0122,hypothetical protein
NC_007604,123897,-,-,Synpcc7942_0123,hypothetical protein
NC_007604,123940,+,-,Synpcc7942_R0027,Cys tRNA
NC_007604,124669,-,-,Synpcc7942_0124,thiol methyltransferase 1-like protein
NC_007604,125367,-,hisB,Synpcc7942_0125,imidazoleglycerol-phosphate dehydratase
NC_007604,126158,-,-,Synpcc7942_0126,enoyl-ACP reductase
NC_007604,126367,+,-,Synpcc7942_0127,Crp/Fnr family transcriptional regulator
NC_007604,127151,+,-,Synpcc7942_0128,hypothetical protein
NC_007604,128446,+,-,Synpcc7942_0129,"resolvase, RNase H-like fold"
NC_007604,129409,-,-,Synpcc7942_0130,hypothetical protein
NC_007604,132495,-,-,Synpcc7942_0131,cyclic nucleotide-binding protein
NC_007604,133770,-,-,Synpcc7942_0132,hypothetical protein
NC_007604,133915,+,-,Synpcc7942_0133,hypothetical protein
NC_007604,134745,+,-,Synpcc7942_0134,hypothetical protein
NC_007604,136651,-,-,Synpcc7942_0135,ubiquinone/menaquinone biosynthesis methylase-like protein
NC_007604,138013,-,-,Synpcc7942_0136,phage integrase
NC_007604,138115,+,hemH,Synpcc7942_0137,ferrochelatase
NC_007604,139416,+,-,Synpcc7942_0138,metalloendopeptidase-like protein
NC_007604,140150,+,-,Synpcc7942_0139,acetolactate synthase 3 catalytic subunit
NC_007604,142631,-,-,Synpcc7942_0140,hypothetical protein
NC_007604,143562,-,secF,Synpcc7942_0141,preprotein translocase subunit SecF
NC_007604,144979,-,secD,Synpcc7942_0142,preprotein translocase subunit SecD
NC_007604,146127,-,-,Synpcc7942_0143,pyruvate/2-oxoglutarate dehydrogenase complex dehydrogenase (E1) component
NC_007604,146268,+,-,Synpcc7942_0144,hypothetical protein
NC_007604,147205,-,-,Synpcc7942_0145,hypothetical protein
NC_007604,147160,+,-,Synpcc7942_0146,hypothetical protein
NC_007604,148503,-,-,Synpcc7942_0147,hypothetical protein
NC_007604,148646,+,-,Synpcc7942_0148,hypothetical protein
NC_007604,150744,-,-,Synpcc7942_0149,methylated-DNA--protein-cysteine methyltransferase
NC_007604,151918,-,-,Synpcc7942_0150,dolichyl-phosphate beta-D-mannosyltransferase
NC_007604,152358,+,-,Synpcc7942_0151,response regulator receiver modulated diguanylate cyclase
NC_007604,156011,-,mraY,Synpcc7942_0152,phospho-N-acetylmuramoyl-pentapeptide-transferase
NC_007604,156307,-,-,Synpcc7942_0153,hypothetical protein
NC_007604,156340,+,-,Synpcc7942_0154,hypothetical protein
NC_007604,156954,+,-,Synpcc7942_0155,hypothetical protein
NC_007604,158852,-,-,Synpcc7942_0156,phosphoglucomutase
NC_007604,159562,-,-,Synpcc7942_0157,hypothetical protein
NC_007604,161197,-,-,Synpcc7942_0158,hypothetical protein
NC_007604,161632,-,-,Synpcc7942_0159,hypothetical protein
NC_007604,161726,+,era,Synpcc7942_0160,GTP-binding protein Era
NC_007604,162759,+,-,Synpcc7942_0161,hypothetical protein
NC_007604,163405,+,-,Synpcc7942_0162,hypothetical protein
NC_007604,163761,+,-,Synpcc7942_0163,hypothetical protein
NC_007604,164548,+,-,Synpcc7942_0164,Iojap-like protein
NC_007604,164986,+,-,Synpcc7942_0165,hypothetical protein
NC_007604,165483,+,-,Synpcc7942_0166,hypothetical protein
NC_007604,166532,+,-,Synpcc7942_R0028,Met tRNA
NC_007604,166925,-,-,Synpcc7942_0167,hypothetical protein
NC_007604,167065,+,-,Synpcc7942_0168,hypothetical protein
NC_007604,168157,+,-,Synpcc7942_0169,"glutamate-ammonia ligase, glutamine synthetase type III"
NC_007604,170498,+,-,Synpcc7942_0170,hypothetical protein
NC_007604,170797,+,-,Synpcc7942_0171,cysteine synthase A
NC_007604,171912,+,-,Synpcc7942_0172,hypothetical protein
NC_007604,173071,-,-,Synpcc7942_0173,3'-phosphoadenosine 5'-phosphosulfate 3'-phosphatase
NC_007604,173111,+,-,Synpcc7942_0174,hypothetical protein
NC_007604,173986,+,-,Synpcc7942_0175,hypothetical protein
NC_007604,174295,+,-,Synpcc7942_0176,hypothetical protein
NC_007604,175497,-,-,Synpcc7942_0177,ABC transporter permease component-like protein
NC_007604,176471,-,-,Synpcc7942_0178,ATPase
NC_007604,176742,+,-,Synpcc7942_0179,secretion chaperone CsaA
NC_007604,178422,-,-,Synpcc7942_0180,hypothetical protein
NC_007604,179824,-,-,Synpcc7942_0181,ATPase
NC_007604,180881,-,-,Synpcc7942_0182,hypothetical protein
NC_007604,181078,+,-,Synpcc7942_0183,hypothetical protein
NC_007604,181464,+,-,Synpcc7942_0184,phosphate permease
NC_007604,182620,+,-,Synpcc7942_0185,gamma-glutamyltransferase
NC_007604,184160,+,-,Synpcc7942_0186,DNA polymerase
NC_007604,185461,-,-,Synpcc7942_0187,hypothetical protein
NC_007604,185682,+,-,Synpcc7942_0188,diguanylate cyclase/phosphodiesterase
NC_007604,189258,-,guaA,Synpcc7942_0189,GMP synthase
NC_007604,190397,-,cbiD,Synpcc7942_0190,cobalt-precorrin-6A synthase
NC_007604,190472,+,-,Synpcc7942_0191,Serine--glyoxylate transaminase
NC_007604,192186,-,-,Synpcc7942_0192,hypothetical protein
NC_007604,192471,-,-,Synpcc7942_0193,hypothetical protein
NC_007604,195516,-,-,Synpcc7942_0194,DNA polymerase I
NC_007604,195630,+,-,Synpcc7942_0195,hypothetical protein
NC_007604,197575,-,-,Synpcc7942_0196,"Beta-carotene 15,15'-dioxygenase"
NC_007604,198933,-,-,Synpcc7942_0197,folate/biopterin transporter
NC_007604,200429,-,-,Synpcc7942_0198,type 2 NADH dehydrogenase
NC_007604,201352,-,-,Synpcc7942_0199,hypothetical protein
NC_007604,201888,-,-,Synpcc7942_0200,hypothetical protein
NC_007604,202641,-,-,Synpcc7942_0201,hypothetical protein
NC_007604,204089,-,-,Synpcc7942_0202,Cbb3-type cytochrome oxidase subunit 1-like protein
NC_007604,205589,-,-,Synpcc7942_0203,5-amino-6-(5-phosphoribosylamino)uracil reductase
NC_007604,206046,-,-,Synpcc7942_0204,hypothetical protein
NC_007604,206198,+,-,Synpcc7942_0205,bifunctional nicotinamide mononucleotide adenylyltransferase/ADP-ribose pyrophosphatase
NC_007604,207362,+,-,Synpcc7942_0206,nicotinate phosphoribosyltransferase
NC_007604,208813,+,-,Synpcc7942_0207,hypothetical protein
NC_007604,209056,+,-,Synpcc7942_0208,TPR repeat-containing protein
NC_007604,212450,-,-,Synpcc7942_0209,Maf-like protein
NC_007604,212496,+,-,Synpcc7942_0210,hypothetical protein
NC_007604,212909,+,-,Synpcc7942_0211,cobyric acid synthase
NC_007604,214471,+,-,Synpcc7942_0212,chorismate synthase
NC_007604,216188,-,-,Synpcc7942_0213,hypothetical protein
NC_007604,216509,+,-,Synpcc7942_0214,hypothetical protein
NC_007604,217813,-,-,Synpcc7942_0215,hypothetical protein
NC_007604,219131,-,-,Synpcc7942_0216,zinc-binding oxidoreductase
NC_007604,219113,+,-,Synpcc7942_0217,phosphatase-like protein
NC_007604,219927,+,-,Synpcc7942_R0029,Pro tRNA
NC_007604,220191,-,-,Synpcc7942_0218,hypothetical protein
NC_007604,220637,-,-,Synpcc7942_0219,hypothetical protein
NC_007604,221397,-,-,Synpcc7942_0220,cell division inhibitor MinD
NC_007604,221486,+,glk,Synpcc7942_0221,glucokinase
NC_007604,222532,+,-,Synpcc7942_0222,hypothetical protein
NC_007604,223805,-,-,Synpcc7942_0223,hypothetical protein
NC_007604,223962,-,psbN,Synpcc7942_0224,photosystem II reaction center protein N
NC_007604,224056,+,psbH,Synpcc7942_0225,photosystem II reaction center protein H
NC_007604,224264,+,tatA,Synpcc7942_0226,twin-arginine translocation protein TatA
NC_007604,224629,+,-,Synpcc7942_0227,peptidyl-tRNA hydrolase
NC_007604,225284,+,-,Synpcc7942_0228,hypothetical protein
NC_007604,225658,+,-,Synpcc7942_0229,hypothetical protein
NC_007604,227309,-,-,Synpcc7942_0230,hypothetical protein
NC_007604,227931,-,-,Synpcc7942_0231,acetyltransferase
NC_007604,229285,-,-,Synpcc7942_0232,3-phosphoshikimate 1-carboxyvinyltransferase
NC_007604,230055,-,-,Synpcc7942_0233,hypothetical protein
NC_007604,231150,-,-,Synpcc7942_0234,hypothetical protein
NC_007604,231162,+,-,Synpcc7942_0235,cyclic nucleotide-binding protein
NC_007604,232018,+,-,Synpcc7942_0236,cyclic nucleotide-binding protein
NC_007604,233143,-,-,Synpcc7942_0237,hypothetical protein
NC_007604,234324,-,-,Synpcc7942_0238,hypothetical protein
NC_007604,234815,-,-,Synpcc7942_0239,cytochrome C6 soluble cytochrome f
NC_007604,235342,-,-,Synpcc7942_0240,hypothetical protein
NC_007604,235487,+,-,Synpcc7942_0241,23S rRNA (uracil-5-)-methyltransferase RumA
NC_007604,238275,-,-,Synpcc7942_0242,K+-dependent Na+/Ca+ exchanger related-protein
NC_007604,238522,-,-,Synpcc7942_0243,high light inducible polypeptide HliC
NC_007604,241156,-,-,Synpcc7942_0244,glycogen/starch/alpha-glucan phosphorylase
NC_007604,242229,-,-,Synpcc7942_0245,glyceraldehyde-3-phosphate dehydrogenase
NC_007604,242365,+,-,Synpcc7942_0246,extracellular solute-binding protein
NC_007604,243507,+,-,Synpcc7942_0247,ABC-type permease for basic amino acids and glutamine
NC_007604,244642,+,-,Synpcc7942_0248,amino acid ABC transporter permease
NC_007604,245851,+,-,Synpcc7942_0249,ATPase
NC_007604,246639,+,-,Synpcc7942_0250,hypothetical protein
NC_007604,247110,+,-,Synpcc7942_0251,exonuclease
NC_007604,248170,-,-,Synpcc7942_0252,hypothetical protein
NC_007604,248629,-,-,Synpcc7942_0253,hypothetical protein
NC_007604,248803,+,-,Synpcc7942_0254,DNA gyrase subunit A
NC_007604,252783,-,-,Synpcc7942_0255,ATPase
NC_007604,252873,+,-,Synpcc7942_0256,"peptidase M20D, amidohydrolase"
NC_007604,254845,-,-,Synpcc7942_0257,hypothetical protein
NC_007604,254894,+,-,Synpcc7942_0258,hypothetical protein
NC_007604,255474,+,-,Synpcc7942_0259,hypothetical protein
NC_007604,258435,-,-,Synpcc7942_0260,ATPase
NC_007604,259358,-,-,Synpcc7942_0261,ribosomal-protein-alanine acetyltransferase
NC_007604,259226,+,-,Synpcc7942_0262,diaminopimelate decarboxylase
NC_007604,260700,+,-,Synpcc7942_0263,hypothetical protein
NC_007604,261617,+,-,Synpcc7942_0264,undecaprenyl pyrophosphate synthase
NC_007604,262660,-,-,Synpcc7942_0265,hypothetical protein
NC_007604,263195,-,-,Synpcc7942_0266,molecular chaperone DnaJ
NC_007604,263414,+,gidB,Synpcc7942_0267,16S rRNA methyltransferase GidB
NC_007604,264964,-,-,Synpcc7942_0268,hypothetical protein
NC_007604,265857,-,-,Synpcc7942_0269,hypothetical protein
NC_007604,265975,+,-,Synpcc7942_0270,TPR repeat-containing protein
NC_007604,267165,+,-,Synpcc7942_0271,uroporphyrinogen-III C-methyltransferase
NC_007604,267889,+,-,Synpcc7942_0272,uroporphyrinogen-III synthase
NC_007604,268662,+,coaE,Synpcc7942_0273,dephospho-CoA kinase
NC_007604,269324,+,-,Synpcc7942_0274,hypothetical protein
NC_007604,269657,+,-,Synpcc7942_0275,hypothetical protein
NC_007604,271473,-,-,Synpcc7942_0276,glycolate oxidase subunit GlcD
NC_007604,273532,-,ligA,Synpcc7942_0277,NAD-dependent DNA ligase LigA
NC_007604,273657,+,-,Synpcc7942_0278,bidirectional hydrogenase complex protein HoxE
NC_007604,274154,+,-,Synpcc7942_0279,NADH dehydrogenase (quinone)
NC_007604,277033,-,-,Synpcc7942_0280,competence damage-inducible protein A
NC_007604,278116,-,-,Synpcc7942_0281,glycosyltransferase
NC_007604,279467,-,glyA,Synpcc7942_0282,serine hydroxymethyltransferase
NC_007604,280623,-,-,Synpcc7942_0283,dihydrouridine synthase TIM-barrel protein nifR3
NC_007604,280701,+,-,Synpcc7942_0284,carbon dioxide concentrating mechanism protein CcmK
NC_007604,281049,+,-,Synpcc7942_0285,carbon dioxide concentrating mechanism protein CcmK
NC_007604,281480,+,-,Synpcc7942_0286,hypothetical protein
NC_007604,281897,+,-,Synpcc7942_0287,hypothetical protein
NC_007604,283962,-,glmU,Synpcc7942_0288,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
NC_007604,284148,+,secA,Synpcc7942_0289,preprotein translocase subunit SecA
NC_007604,287003,+,-,Synpcc7942_0290,dihydroorotate dehydrogenase 2
NC_007604,288232,-,-,Synpcc7942_R0030,Ala tRNA
NC_007604,288312,+,-,Synpcc7942_0291,hypothetical protein
NC_007604,288534,+,-,Synpcc7942_0292,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
NC_007604,290095,-,-,Synpcc7942_0293,hypothetical protein
NC_007604,290243,+,-,Synpcc7942_0294,photosystem II manganese-stabilizing polypeptide
NC_007604,291417,+,sat,Synpcc7942_0295,sulfate adenylyltransferase
NC_007604,292720,+,-,Synpcc7942_0296,hypothetical protein
NC_007604,294850,+,-,Synpcc7942_0297,FtsH peptidase
NC_007604,297627,-,-,Synpcc7942_0298,hypothetical protein
NC_007604,298373,-,-,Synpcc7942_0299,rod shape-determining protein MreC
NC_007604,299444,-,-,Synpcc7942_0300,rod shape-determining protein MreB
NC_007604,299628,+,-,Synpcc7942_0301,single-stranded DNA-binding protein
NC_007604,301447,-,-,Synpcc7942_0302,phospholipase D/transphosphatidylase
NC_007604,301543,+,-,Synpcc7942_0303,response regulator receiver domain-containing protein
NC_007604,302833,+,-,Synpcc7942_0304,hypothetical protein
NC_007604,303815,+,-,Synpcc7942_0305,hypothetical protein
NC_007604,304347,-,-,Synpcc7942_0306,hypothetical protein
NC_007604,305936,-,-,Synpcc7942_0307,Na+/H+ antiporter
NC_007604,307138,-,-,Synpcc7942_0308,CO2 hydration protein
NC_007604,309103,-,-,Synpcc7942_0309,NAD(P)H-quinone oxidoreductase subunit F
NC_007604,310417,-,-,Synpcc7942_0310,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NC_007604,311253,-,ksgA,Synpcc7942_0311,dimethyladenosine transferase
NC_007604,311708,-,-,Synpcc7942_0312,hypothetical protein
NC_007604,311762,+,-,Synpcc7942_0313,hypothetical protein
NC_007604,313032,-,-,Synpcc7942_0314,succinate dehydrogenase subunit C
NC_007604,314431,-,-,Synpcc7942_0315,adenylosuccinate lyase
NC_007604,314723,-,-,Synpcc7942_0316,hypothetical protein
NC_007604,314897,+,-,Synpcc7942_0317,hypothetical protein
NC_007604,315642,+,-,Synpcc7942_0318,hypothetical protein
NC_007604,316162,+,-,Synpcc7942_0319,hemolysin A
NC_007604,317010,+,-,Synpcc7942_0320,UDP-galactose 4-epimerase
NC_007604,318572,-,-,Synpcc7942_0321,nitrogen regulatory protein P-II
NC_007604,320049,-,-,Synpcc7942_0322,c-type cytochrome biogenesis protein
NC_007604,320804,-,-,Synpcc7942_0323,cytochrome c biogenesis protein-like protein
NC_007604,322008,-,-,Synpcc7942_0324,cell division protein FtsW
NC_007604,322344,-,-,Synpcc7942_0325,LC 7.8 apoprotein (core components of the phycobilisomes)
NC_007604,322886,-,-,Synpcc7942_0326,allophycocyanin subunit beta
NC_007604,323440,-,-,Synpcc7942_0327,allophycocyanin alpha chain
NC_007604,325984,-,-,Synpcc7942_0328,phycobilisome core-membrane linker polypeptide
NC_007604,326113,+,-,Synpcc7942_0329,hypothetical protein
NC_007604,327394,+,-,Synpcc7942_0330,hypothetical protein
NC_007604,327926,+,-,Synpcc7942_0331,ATP synthase F0F1 subunit A
NC_007604,328738,+,-,Synpcc7942_0332,ATP synthase F0F1 subunit C
NC_007604,329108,+,-,Synpcc7942_0333,ATP synthase F0F1 subunit B'
NC_007604,329764,+,-,Synpcc7942_0334,ATP synthase F0F1 subunit B
NC_007604,330289,+,-,Synpcc7942_0335,ATP synthase F0F1 subunit delta
NC_007604,330832,+,-,Synpcc7942_0336,ATP synthase F0F1 subunit alpha
NC_007604,332406,+,-,Synpcc7942_0337,ATP synthase F0F1 subunit gamma
NC_007604,333517,+,-,Synpcc7942_0338,ferredoxin (2Fe-2S)
NC_007604,333995,+,-,Synpcc7942_0339,hypothetical protein
NC_007604,335071,+,-,Synpcc7942_0340,hypothetical protein
NC_007604,335633,+,-,Synpcc7942_0341,hypothetical protein
NC_007604,336363,+,-,Synpcc7942_0342,hypothetical protein
NC_007604,336591,+,-,Synpcc7942_0343,photosystem II 11 kD protein
NC_007604,338459,-,-,Synpcc7942_0344,peptidase
NC_007604,339306,-,-,Synpcc7942_0345,biotin--acetyl-CoA-carboxylase ligase
NC_007604,339352,+,-,Synpcc7942_0346,hypothetical protein
NC_007604,340239,+,-,Synpcc7942_0347,hypothetical protein
NC_007604,341859,-,recA,Synpcc7942_0348,recombinase A
NC_007604,342557,-,-,Synpcc7942_0349,hypothetical protein
NC_007604,342793,+,-,Synpcc7942_0350,ATPase
NC_007604,343699,+,-,Synpcc7942_0351,ABC transport system substrate-binding protein
NC_007604,345431,-,-,Synpcc7942_0352,methionine sulfoxide reductase B
NC_007604,345470,+,-,Synpcc7942_0353,Na+-dependent transporter-like protein
NC_007604,348460,-,-,Synpcc7942_0354,Beta-glucosidase-like glycosidase
NC_007604,348871,-,rbfA,Synpcc7942_0355,ribosome-binding factor A
NC_007604,349146,-,-,Synpcc7942_0356,hypothetical protein
NC_007604,351278,-,-,Synpcc7942_0357,inorganic carbon transporter
NC_007604,351950,-,trmB,Synpcc7942_0358,tRNA (guanine-N(7)-)-methyltransferase
NC_007604,352026,+,-,Synpcc7942_0359,hypothetical protein
NC_007604,354299,-,-,Synpcc7942_0360,hypothetical protein
NC_007604,354510,+,-,Synpcc7942_0361,hypothetical protein
NC_007604,354800,+,-,Synpcc7942_0362,hypothetical protein
NC_007604,355509,+,-,Synpcc7942_0363,hypothetical protein
NC_007604,355865,+,-,Synpcc7942_0364,hypothetical protein
NC_007604,356676,+,-,Synpcc7942_0365,response regulator receiver domain-containing protein
NC_007604,357547,+,-,Synpcc7942_0366,sulfate transporter
NC_007604,360690,-,-,Synpcc7942_0367,Na+-dependent transporter-like protein
NC_007604,360711,+,xseA,Synpcc7942_0368,exodeoxyribonuclease VII large subunit
NC_007604,362147,+,-,Synpcc7942_0369,flavin-containing monoamine oxidase
NC_007604,363763,+,-,Synpcc7942_0370,O-acetylhomoserine/O-acetylserine sulfhydrylase
NC_007604,365116,+,-,Synpcc7942_0371,homoserine O-succinyltransferase
NC_007604,366053,+,-,Synpcc7942_0372,hypothetical protein
NC_007604,368024,-,-,Synpcc7942_0373,hypothetical protein
NC_007604,368574,-,-,Synpcc7942_0374,hypothetical protein
NC_007604,370344,-,-,Synpcc7942_0375,processing protease
NC_007604,371867,-,-,Synpcc7942_0376,zinc protease
NC_007604,372369,-,-,Synpcc7942_0377,hypothetical protein
NC_007604,372532,+,-,Synpcc7942_0378,hypothetical protein
