JGI ID,7942 ID,Start,End,Strand,Mean RNA Seq over ORF
637798473,Synpcc7942_0067,67177,67986,0,4.318518519
637798474,Synpcc7942_0068,67991,68980,0,3.634343434
637798475,Synpcc7942_0069,69079,69375,1,4.175084175
637798476,Synpcc7942_0070,69378,69938,0,1.427807487
637798477,Synpcc7942_0071,69940,71139,0,7.035
637798478,Synpcc7942_0072,71307,71960,0,4.486238532
637798479,Synpcc7942_0073,72000,73196,0,15.08521303
637798480,Synpcc7942_0074,73306,73659,0,1.38700565
637798481,Synpcc7942_0075,73775,75088,1,13.53348554
637798482,Synpcc7942_0076,75091,75852,1,8.154855643
637798483,Synpcc7942_0077,75928,76617,1,6.808695652
637798484,Synpcc7942_0078,76614,77063,0,8.668888889
637798485,Synpcc7942_0079,77138,77584,0,19.89485459
637798486,Synpcc7942_0080,77648,78871,0,9.983660131
637798487,Synpcc7942_0081,78987,79196,0,18.38571429
637798488,Synpcc7942_0082,79265,81013,1,5.801600915
637798489,Synpcc7942_0083,81023,81220,1,13.09090909
637798490,Synpcc7942_0084,81217,81918,1,5.928774929
637798491,Synpcc7942_0085,82179,82865,0,2.886462882
637798492,Synpcc7942_0086,82871,84955,0,8.226378897
637798493,Synpcc7942_0087,84964,86475,0,10.75198413
637798494,Synpcc7942_0088,86547,87269,1,8.777316736
637798495,Synpcc7942_0089,87881,88615,0,8.668027211
637798496,Synpcc7942_0090,88735,89718,1,7.825203252
637798497,Synpcc7942_0091,89715,90326,0,5.960784314
637798498,Synpcc7942_0092,90583,90930,0,15.31896552
637798499,Synpcc7942_0093,91029,91676,1,3.587962963
637798500,Synpcc7942_0094,91676,92611,1,1.571581197
637798501,Synpcc7942_0095,92590,93339,0,51.92266667
637798502,Synpcc7942_0096,93764,94285,0,13.12452107
637798503,Synpcc7942_0097,94375,98166,0,1.624208861
637798504,Synpcc7942_0098,98302,100086,0,14.1070028
637798505,Synpcc7942_0099,100202,100531,1,4.157575758
637798506,Synpcc7942_0100,100528,101082,0,9.535135135
637798507,Synpcc7942_0101,101259,102593,1,38.87265918
637798508,Synpcc7942_0102,102674,103237,1,18.34042553
637798509,Synpcc7942_0103,103268,103645,0,2.529100529
637798510,Synpcc7942_0104,103632,104408,0,4.298584299
637798511,Synpcc7942_0105,104653,106377,0,3.019130435
637798512,Synpcc7942_0106,106374,106952,0,3.590673575
637798513,Synpcc7942_0107,106965,108383,0,9.314305849
637798514,Synpcc7942_0108,108556,108816,1,6.141762452
637798515,Synpcc7942_0109,108877,109383,1,19.00986193
637798516,Synpcc7942_0110,109390,109947,1,9.064516129
637798517,Synpcc7942_0111,110012,111607,1,3.461152882
637798518,Synpcc7942_0112,111686,113140,1,1.679037801
637798519,Synpcc7942_0113,113196,113288,1,48.7311828
637798520,Synpcc7942_0114,113327,113698,1,36.47311828
637798521,Synpcc7942_0115,113631,114146,0,0.965116279
637798522,Synpcc7942_0116,114299,115273,1,4.203076923
637798523,Synpcc7942_0117,115391,116722,1,3.623123123
637798524,Synpcc7942_0118,116943,118427,1,36.6006734
637798525,Synpcc7942_0119,118735,119292,0,2.672043011
637798526,Synpcc7942_0120,119508,119993,0,2.030864198
637798527,Synpcc7942_0121,120013,121239,0,1.353708231
637798528,Synpcc7942_0122,121831,123408,0,1.453105196
637798529,Synpcc7942_0123,123808,123897,0,0.577777778
637798530,Synpcc7942_0124,124070,124669,0,5.65
637798531,Synpcc7942_0125,124738,125367,0,21.69047619
637798532,Synpcc7942_0126,125382,126158,0,10.41441441
637798533,Synpcc7942_0127,126390,127058,1,10.77428999
637798534,Synpcc7942_0128,127151,128449,1,6.583525789
637798535,Synpcc7942_0129,128446,128877,1,4.583333333
637798536,Synpcc7942_0130,128822,129409,0,15.26870748
637798537,Synpcc7942_0131,129670,132495,0,3.123496108
637798538,Synpcc7942_0132,132721,133770,0,1.493333333
637798539,Synpcc7942_0133,133915,134754,1,11.68809524
637798540,Synpcc7942_0134,134745,136052,1,7.012232416
637798541,Synpcc7942_0135,136016,136651,0,2.163522013
637798542,Synpcc7942_0136,136706,138013,0,1.925840979
637798543,Synpcc7942_0137,138115,139278,1,30.00085911
637798544,Synpcc7942_0138,139416,140018,1,19.98175788
637798545,Synpcc7942_0139,140268,142106,1,79.71506253
637798546,Synpcc7942_0140,142233,142631,0,27.69423559
637798547,Synpcc7942_0141,142618,143562,0,10.8952381
637798548,Synpcc7942_0142,143572,144966,0,15.90322581
637798549,Synpcc7942_0143,145003,145983,0,25.08766565
637798550,Synpcc7942_0144,146268,146720,1,8.483443709
637798551,Synpcc7942_0145,146717,147040,0,5.771604938
637798552,Synpcc7942_0146,147160,147855,1,3.561781609
637798553,Synpcc7942_0147,148159,148491,0,9.942942943
637798554,Synpcc7942_0148,148646,150190,1,4.363754045
637798555,Synpcc7942_0149,150187,150744,0,2.408602151
637798556,Synpcc7942_0150,150752,151918,0,5.441302485
637798557,Synpcc7942_0151,152527,154917,1,5.031367629
637798558,Synpcc7942_0152,154914,156011,0,16.00182149
637798559,Synpcc7942_0153,156026,156307,0,45.04964539
637798560,Synpcc7942_0154,156340,156957,1,5.512944984
637798561,Synpcc7942_0155,156954,157184,1,2.19047619
637798562,Synpcc7942_0156,157210,158841,0,15.36029412
637798563,Synpcc7942_0157,159042,159560,0,64.40077071
637798564,Synpcc7942_0158,159996,161171,0,41.64965986
637798565,Synpcc7942_0159,161198,161632,0,8.386206897
637798566,Synpcc7942_0160,161726,162661,1,5.980769231
637798567,Synpcc7942_0161,162764,163306,1,11.34622468
637798568,Synpcc7942_0162,163405,163755,1,31.88603989
637798569,Synpcc7942_0163,163761,164510,1,14.82666667
637798570,Synpcc7942_0164,164548,164967,1,48.77142857
637798571,Synpcc7942_0165,164986,165486,1,14.77245509
637798572,Synpcc7942_0166,165483,166436,1,13.88679245
637798573,Synpcc7942_0167,166695,166925,0,10.05627706
637798574,Synpcc7942_0168,167065,167748,1,19.65204678
637798575,Synpcc7942_0169,168176,170347,1,12.69244936
637798576,Synpcc7942_0170,170498,170752,1,4.701960784
637798577,Synpcc7942_0171,170797,171915,1,107.5773012
637798578,Synpcc7942_0172,171912,172205,1,6.693877551
637798579,Synpcc7942_0173,172202,173071,0,1.722988506
637798580,Synpcc7942_0174,173111,173989,1,2.080773606
637798581,Synpcc7942_0175,173986,174198,1,2.582159624
637798582,Synpcc7942_0176,174311,174712,1,18.9278607
637798583,Synpcc7942_0177,174709,175497,0,4.356147022
637798584,Synpcc7942_0178,175494,176471,0,7.141104294
637798585,Synpcc7942_0179,176742,177095,1,2.316384181
637798586,Synpcc7942_0180,177550,178422,0,6.112256586
637798587,Synpcc7942_0181,178419,179792,0,10.37772926
637798588,Synpcc7942_0182,180156,180881,0,0.860881543
637798589,Synpcc7942_0183,181078,181467,1,8.746153846
637798590,Synpcc7942_0184,181464,182555,1,2.75
637798591,Synpcc7942_0185,182620,184146,1,1.667976424
637798592,Synpcc7942_0186,184160,184411,1,1.630952381
637798593,Synpcc7942_0187,184418,185461,0,3.691570881
637798594,Synpcc7942_0188,185682,187418,1,2.259643063
637798595,Synpcc7942_0189,187531,189258,0,43.22858796
637798596,Synpcc7942_0190,189273,190397,0,2.101333333
637798597,Synpcc7942_0191,190472,191620,1,18.2924282
637798598,Synpcc7942_0192,191710,192186,0,20.77568134
637798599,Synpcc7942_0193,192247,192471,0,17.60888889
637798600,Synpcc7942_0194,192655,195516,0,5.192522711
637798601,Synpcc7942_0195,195630,196058,1,8.498834499
637798602,Synpcc7942_0196,196094,197575,0,5.766531714
637798603,Synpcc7942_0197,197572,198933,0,11.61527166
637798604,Synpcc7942_0198,198993,200429,0,6.620737648
637798605,Synpcc7942_0199,200426,201352,0,9.736785329
637798606,Synpcc7942_0200,201352,201888,0,7.12849162
637798607,Synpcc7942_0201,201889,202641,0,8.08499336
637798608,Synpcc7942_0202,202638,204089,0,10.18526171
637798609,Synpcc7942_0203,204483,205589,0,2.388437218
637798610,Synpcc7942_0204,205582,206046,0,7.496774194
637798611,Synpcc7942_0205,206198,207214,1,6.115044248
637798612,Synpcc7942_0206,207362,208750,1,1.174946004
637798613,Synpcc7942_0207,208813,208983,1,7.573099415
637798614,Synpcc7942_0208,209056,211827,1,2.399350649
637798615,Synpcc7942_0209,211824,212450,0,3.009569378
637798616,Synpcc7942_0210,212496,212897,1,6.213930348
637798617,Synpcc7942_0211,212909,214384,1,3.287262873
637798618,Synpcc7942_0212,214471,215559,1,9.292929293
637798619,Synpcc7942_0213,215643,216188,0,3.970695971
637798620,Synpcc7942_0214,216509,217432,1,6.74025974
637798621,Synpcc7942_0215,217424,217813,0,28.57179487
637798622,Synpcc7942_0216,217948,218964,0,3.968534907
637798623,Synpcc7942_0217,219113,219871,1,26.34519104
637798624,Synpcc7942_0218,220024,220191,0,13.77380952
637798625,Synpcc7942_0219,220316,220636,0,5.797507788
637798626,Synpcc7942_0220,220639,221397,0,6.196310935
637798627,Synpcc7942_0221,221498,222535,1,5.054913295
637798628,Synpcc7942_0222,222532,223398,1,2.980392157
637798629,Synpcc7942_0223,223395,223805,0,17.19951338
637798630,Synpcc7942_0224,223821,223961,0,21.54609929
637798631,Synpcc7942_0225,224060,224263,1,420.8137255
637798632,Synpcc7942_0226,224357,224632,1,44.5615942
637798633,Synpcc7942_0227,224629,225255,1,20.12440191
637798634,Synpcc7942_0228,225284,225544,1,9.862068966
637798635,Synpcc7942_0229,225658,226221,1,21.95212766
637798636,Synpcc7942_0230,226263,227309,0,4.014326648
637798637,Synpcc7942_0231,227407,227931,0,1.491428571
637798638,Synpcc7942_0232,227939,229285,0,4.699331849
637798639,Synpcc7942_0233,229629,230054,0,16.70187793
637798640,Synpcc7942_0234,230158,231150,0,3.848942598
637798641,Synpcc7942_0235,231162,231677,1,6.779069767
637798642,Synpcc7942_0236,232018,232557,1,12.97592593
637798643,Synpcc7942_0237,232565,233143,0,2.965457686
637798644,Synpcc7942_0238,233143,234324,0,4.554145516
637798645,Synpcc7942_0239,234331,234669,0,10.69026549
637798646,Synpcc7942_0240,234851,235342,0,83.55284553
637798647,Synpcc7942_0241,235487,236854,1,3.79751462
637798648,Synpcc7942_0242,237166,238275,0,12.47927928
637798649,Synpcc7942_0243,238379,238522,0,201.3333333
637798650,Synpcc7942_0244,238622,241156,0,21.74358974
637798651,Synpcc7942_0245,241168,242229,0,22.33709981
637798652,Synpcc7942_0246,242421,243500,1,6.812962963
637798653,Synpcc7942_0247,243507,244640,1,2.685185185
637798654,Synpcc7942_0248,244642,245832,1,3.899244332
637798655,Synpcc7942_0249,245851,246636,1,5.801526718
637798656,Synpcc7942_0250,246639,247106,1,4.561965812
637798657,Synpcc7942_0251,247110,247880,1,1.632944228
637798658,Synpcc7942_0252,247909,248136,0,183.9166667
637798659,Synpcc7942_0253,248171,248629,0,167.7625272
637798660,Synpcc7942_0254,248859,251429,1,27.48541424
637798661,Synpcc7942_0255,251503,252783,0,6.039032006
637798662,Synpcc7942_0256,252873,254099,1,8.760391198
637798663,Synpcc7942_0257,254096,254845,0,2.277333333
637798664,Synpcc7942_0258,254894,255334,1,6.80952381
637798665,Synpcc7942_0259,255474,255806,1,65.2042042
637798666,Synpcc7942_0260,255961,258435,0,179.6694949
637798667,Synpcc7942_0261,258579,259178,0,7.786666667
637798668,Synpcc7942_0262,259226,260620,1,21.84301075
637798669,Synpcc7942_0263,260700,261620,1,10.86427796
637798670,Synpcc7942_0264,261617,262372,1,7.621693122
637798671,Synpcc7942_0265,262385,262660,0,11.67753623
637798672,Synpcc7942_0266,262638,263195,0,9.953405018
637798673,Synpcc7942_0267,263757,264485,1,29.57201646
637798674,Synpcc7942_0268,264482,264964,0,2.49689441
637798675,Synpcc7942_0269,264976,265857,0,3.79138322
637798676,Synpcc7942_0270,265975,267168,1,4.835008375
637798677,Synpcc7942_0271,267165,267896,1,4.452185792
637798678,Synpcc7942_0272,267889,268683,1,5.665408805
637798679,Synpcc7942_0273,268662,269291,1,5.193650794
637798680,Synpcc7942_0274,269329,269667,1,5.539823009
637798681,Synpcc7942_0275,269657,269989,1,9.474474474
637798682,Synpcc7942_0276,270001,271473,0,8.416836388
637798683,Synpcc7942_0277,271493,273532,0,2.933333333
637798684,Synpcc7942_0278,273657,274154,1,3.333333333
637798685,Synpcc7942_0279,274154,275758,1,3.53894081
637798686,Synpcc7942_0280,275768,277033,0,2.916271722
637798687,Synpcc7942_0281,277043,278116,0,11.4264432
637798688,Synpcc7942_0282,278139,279422,0,29.0576324
637798689,Synpcc7942_0283,279619,280623,0,1.906467662
637798690,Synpcc7942_0284,280701,281009,1,38.97734628
637798691,Synpcc7942_0285,281054,281395,1,42.65789474
637798692,Synpcc7942_0286,281480,281842,1,8.685950413
637798693,Synpcc7942_0287,281897,282592,1,4.093390805
637798694,Synpcc7942_0288,282604,283962,0,4.755702723
637798695,Synpcc7942_0289,284148,286994,1,25.69055146
637798696,Synpcc7942_0290,287003,288139,1,7.240985048
637798697,Synpcc7942_0291,288312,288530,1,36.85388128
637798698,Synpcc7942_0292,288534,289760,1,6.084759576
637798699,Synpcc7942_0293,289757,290095,0,10.93510324
637798700,Synpcc7942_0294,290394,291227,1,164.6031175
637798701,Synpcc7942_0295,291417,292604,1,19.00757576
637798702,Synpcc7942_0296,292750,294765,1,10.6780754
637798703,Synpcc7942_0297,294872,296713,1,75.49945711
637798704,Synpcc7942_0298,296980,297627,0,2.75154321
637798705,Synpcc7942_0299,297624,298373,0,5.657333333
637798706,Synpcc7942_0300,298398,299435,0,14.83140655
637798707,Synpcc7942_0301,299628,299990,1,38.31404959
637798708,Synpcc7942_0302,300008,301447,0,2.590277778
637798709,Synpcc7942_0303,301543,302697,1,0.743722944
637798710,Synpcc7942_0304,302833,303480,1,31.86111111
637798711,Synpcc7942_0305,303815,304045,1,29.58874459
637798712,Synpcc7942_0306,304039,304347,0,1.802588997
637798713,Synpcc7942_0307,304710,305936,0,7.229828851
637798714,Synpcc7942_0308,305969,307108,0,15.92719298
637798715,Synpcc7942_0309,307139,309043,0,16.01627297
637798716,Synpcc7942_0310,309473,310417,0,2.907936508
637798717,Synpcc7942_0311,310414,311253,0,8.251190476
637798718,Synpcc7942_0312,311280,311708,0,20.68531469
637798719,Synpcc7942_0313,311762,312274,1,18.82651072
637798720,Synpcc7942_0314,312403,313032,0,5.877777778
637798721,Synpcc7942_0315,313079,314374,0,45.31095679
637798722,Synpcc7942_0316,314432,314623,0,216.3125
637798723,Synpcc7942_0317,314897,315355,1,7.786492375
637798724,Synpcc7942_0318,315642,316097,1,13.6995614
637798725,Synpcc7942_0319,316162,316980,1,3.854700855
637798726,Synpcc7942_0320,317010,318008,1,3.151151151
637798727,Synpcc7942_0321,318147,318485,0,238.9085546
637798728,Synpcc7942_0322,318679,320049,0,7.882567469
637798729,Synpcc7942_0323,320046,320804,0,16.7088274
637798730,Synpcc7942_0324,320824,322008,0,10.74261603
637798731,Synpcc7942_0325,322093,322296,0,740.1666667
637798732,Synpcc7942_0326,322388,322873,0,996.0925926
637798733,Synpcc7942_0327,322930,323415,0,1020.092593
637798734,Synpcc7942_0328,323781,325898,0,167.0363551
637798735,Synpcc7942_0329,326113,327357,1,3.926104418
637798736,Synpcc7942_0330,327394,327900,1,281.2209073
637798737,Synpcc7942_0331,327926,328711,1,292.7709924
637798738,Synpcc7942_0332,328854,329099,1,313.0121951
637798739,Synpcc7942_0333,329244,329720,1,117.4318658
637798740,Synpcc7942_0334,329764,330279,1,78.98449612
637798741,Synpcc7942_0335,330289,330831,1,92.05524862
637798742,Synpcc7942_0336,330878,332395,1,79.95783926
637798743,Synpcc7942_0337,332458,333408,1,48.7276551
637798744,Synpcc7942_0338,333517,333834,1,12.62264151
637798745,Synpcc7942_0339,333995,335074,1,4.749074074
637798746,Synpcc7942_0340,335071,335652,1,7.367697595
637798747,Synpcc7942_0341,335633,336205,1,4.115183246
637798748,Synpcc7942_0342,336363,336590,1,5.521929825
637798749,Synpcc7942_0343,336654,337055,1,75.73383085
637798750,Synpcc7942_0344,337408,338451,0,15.80363985
637798751,Synpcc7942_0345,338536,339306,0,4.062256809
637798752,Synpcc7942_0346,339352,340131,1,8.679487179
637798753,Synpcc7942_0347,340288,340452,1,98.81818182
637798754,Synpcc7942_0348,340698,341768,0,18.0130719
637798755,Synpcc7942_0349,341883,342443,0,10.97682709
637798756,Synpcc7942_0350,342793,343671,1,3.705346985
637798757,Synpcc7942_0351,343699,344832,1,4.041446208
637798758,Synpcc7942_0352,344823,345431,0,20.12479475
637798759,Synpcc7942_0353,345470,346432,1,4.200415369
637798760,Synpcc7942_0354,346832,348460,0,4.724984653
637798761,Synpcc7942_0355,348457,348870,0,21.28502415
637798762,Synpcc7942_0356,348922,349146,0,26.02666667
637798763,Synpcc7942_0357,349875,351278,0,5.292735043
637798764,Synpcc7942_0358,351309,351950,0,1.81152648
637798765,Synpcc7942_0359,352026,353207,1,6.03891709
637798766,Synpcc7942_0360,353103,354299,0,8.631578947
637798767,Synpcc7942_0361,354532,354759,1,245.0394737
637798768,Synpcc7942_0362,354884,355483,1,15.12666667
637798769,Synpcc7942_0363,355509,355793,1,11.7754386
637798770,Synpcc7942_0364,355865,356416,1,8.130434783
637798771,Synpcc7942_0365,356676,357305,1,6.619047619
637798772,Synpcc7942_0366,357549,359732,1,4.923992674
637798773,Synpcc7942_0367,359767,360690,0,2.687229437
637798774,Synpcc7942_0368,360711,362063,1,1.928307465
637798775,Synpcc7942_0369,362147,363601,1,9.358075601
637798776,Synpcc7942_0370,363763,365067,1,7.717241379
637798777,Synpcc7942_0371,365116,366015,1,3.368888889
637798778,Synpcc7942_0372,366053,366853,1,3.91011236
637798779,Synpcc7942_0373,366738,368024,0,5.776223776
637798780,Synpcc7942_0374,368290,368574,0,29.77192982
637798781,Synpcc7942_0375,368929,370344,0,3.480932203
637798782,Synpcc7942_0376,370341,371867,0,7.995415848
637798783,Synpcc7942_0377,371868,372206,0,97.81415929
637798784,Synpcc7942_0378,372532,373326,1,15.77106918
637798785,Synpcc7942_0379,373380,373763,1,35.38020833
637798786,Synpcc7942_0380,373785,374828,1,13.71455939
637798787,Synpcc7942_0381,375032,375346,0,46.0984127
637798788,Synpcc7942_0382,375456,375722,0,64.05617978
637798789,Synpcc7942_0383,375762,376448,0,24.59534207
637798790,Synpcc7942_0384,376527,377237,0,2.270042194
637798791,Synpcc7942_0385,377321,378694,0,70.06404658
637798792,Synpcc7942_0386,378981,380390,1,9.884397163
637798793,Synpcc7942_0387,380395,380901,1,5.240631164
637798794,Synpcc7942_0388,380870,381991,0,2.622994652
637798795,Synpcc7942_0389,382081,382332,1,9.841269841
637798796,Synpcc7942_0390,382303,383454,0,3.655381944
637798797,Synpcc7942_0391,383545,385125,0,12.96900696
637798798,Synpcc7942_0392,385350,386528,0,2.944020356
637798799,Synpcc7942_0393,386677,387357,1,1.920704846
637798800,Synpcc7942_0394,387354,388220,0,4.487889273
637798801,Synpcc7942_0395,388494,389618,1,13.864
637798802,Synpcc7942_0396,389953,391494,1,6.981193256
637798803,Synpcc7942_0397,391532,392923,1,3.680316092
637798804,Synpcc7942_0398,392990,393448,1,28.47930283
637798805,Synpcc7942_0399,393793,394545,0,10.37184595
637798806,Synpcc7942_0400,394579,395181,0,21.77777778
637798807,Synpcc7942_0401,395246,395731,0,15.7345679
637798808,Synpcc7942_0402,396872,397396,0,8.001904762
637798809,Synpcc7942_0403,397398,397577,0,24.11666667
637798810,Synpcc7942_0404,397595,398509,0,16.91693989
637798811,Synpcc7942_0405,398870,399868,1,3.282282282
637798812,Synpcc7942_0406,399953,400354,1,11.29353234
637798813,Synpcc7942_0407,400429,400671,0,78.01234568
637798814,Synpcc7942_0408,400768,401421,1,2.337920489
637798815,Synpcc7942_0409,401464,401748,0,5.747368421
637798816,Synpcc7942_0410,401750,402022,0,6.886446886
637798817,Synpcc7942_0411,402191,402991,0,11.46816479
637798818,Synpcc7942_0412,403022,403351,0,23.83030303
637798819,Synpcc7942_0413,403352,403768,0,24.75539568
637798820,Synpcc7942_0414,404016,405188,1,2.901108269
637798821,Synpcc7942_0415,405168,406145,0,29.6196319
637798822,Synpcc7942_0416,406389,406772,1,343.6796875
637798823,Synpcc7942_0417,406851,408359,1,221.5964215
637798824,Synpcc7942_0418,408494,408844,1,981.4330484
637798825,Synpcc7942_0419,408941,409903,0,7.84423676
637798826,Synpcc7942_0420,409951,411516,0,4.669859515
637798827,Synpcc7942_0421,411548,411946,0,8.899749373
637798828,Synpcc7942_0422,412147,413289,1,14.18897638
637798829,Synpcc7942_0423,413396,413614,0,109.3926941
637798830,Synpcc7942_0424,413873,414955,1,665.9279778
637798831,Synpcc7942_0425,415064,415441,0,72.58994709
637798832,Synpcc7942_0426,415535,416086,0,3.547101449
637798833,Synpcc7942_0427,416103,416951,0,6.253239105
637798834,Synpcc7942_0428,416982,418610,0,7.990791897
637798835,Synpcc7942_0429,418681,419220,0,50.58518519
637798836,Synpcc7942_0430,419382,421292,1,33.15332287
637798837,Synpcc7942_0431,421289,422557,1,8.252955083
637798838,Synpcc7942_0432,422547,423245,1,6.902718169
637798839,Synpcc7942_0433,423632,424840,1,15.27212572
637798840,Synpcc7942_0434,425057,426064,1,10.66765873
637798841,Synpcc7942_0435,426075,426830,1,4.374338624
637798842,Synpcc7942_0436,426845,427150,1,1.594771242
637798843,Synpcc7942_0437,427463,428029,1,2.453262787
637798844,Synpcc7942_0438,427989,428495,1,2.741617357
637798845,Synpcc7942_0439,428611,429300,0,13.89275362
637798846,Synpcc7942_0440,429346,430473,0,7.707446809
637798847,Synpcc7942_0441,430523,431191,1,4.736920777
637798848,Synpcc7942_0442,431458,432951,1,301.2182062
637798849,Synpcc7942_0443,433076,434317,0,31.72302738
637798850,Synpcc7942_0444,434357,435040,0,36.10672515
637798851,Synpcc7942_0445,435383,436438,0,3.089962121
637798852,Synpcc7942_0446,436519,436821,0,147.2376238
637798853,Synpcc7942_0447,436851,437537,0,10.38282387
637798854,Synpcc7942_0448,437534,438628,0,36.57534247
637798855,Synpcc7942_0449,438675,440006,0,13.46021021
637798856,Synpcc7942_0450,440050,440295,0,50.73170732
637798857,Synpcc7942_0451,440670,441299,1,3.785714286
637798858,Synpcc7942_0452,441357,441836,0,316.83125
637798860,Synpcc7942_0453,442022,443236,1,6.62962963
637798861,Synpcc7942_0454,443217,443972,0,0.828042328
637798862,Synpcc7942_0455,444001,445155,1,3.022510823
637798863,Synpcc7942_0456,445209,445346,1,498.4565217
637798864,Synpcc7942_0457,445562,446179,1,8.161812298
637798865,Synpcc7942_0458,446215,447051,0,4.672640382
637798866,Synpcc7942_0459,447057,448166,0,8.595495495
637798867,Synpcc7942_0460,448306,448779,0,1.299578059
637798868,Synpcc7942_0461,448876,449313,0,6.118721461
637798869,Synpcc7942_0462,449370,449957,0,4.178571429
637798870,Synpcc7942_0463,449957,450448,0,4.445121951
637798871,Synpcc7942_0464,450539,450934,0,61.52525253
637798872,Synpcc7942_0465,451023,451748,0,14.33746556
637798873,Synpcc7942_0466,451838,454087,1,14.03822222
637798874,Synpcc7942_0467,454004,454837,0,13.7206235
637798875,Synpcc7942_0468,454806,455045,0,56.8625
637798876,Synpcc7942_0469,455066,456664,0,33.08067542
637798877,Synpcc7942_0470,457211,457744,1,20.1741573
637798878,Synpcc7942_0471,457882,458712,1,6.117930205
637798879,Synpcc7942_0472,458795,459019,1,3.933333333
637798880,Synpcc7942_0473,459096,460202,1,26.5438121
637798881,Synpcc7942_0474,460296,460433,0,122.4492754
637798882,Synpcc7942_0475,460449,460544,0,184.125
637798883,Synpcc7942_0476,460552,460962,1,8.9756691
637798884,Synpcc7942_0477,460994,461293,0,63.55
637798885,Synpcc7942_0478,461324,461935,0,8.867647059
637798886,Synpcc7942_0479,461935,463749,0,12.80661157
637798887,Synpcc7942_0480,463901,465634,1,9.889850058
